Date,Open,High,Low,Close,AdjClose,Volume
1987-04-09,297.25,297.71,291.50,292.86,292.86,"18,03,00,000"
1987-04-10,292.82,293.74,290.94,292.49,292.49,"16,95,00,000"
1987-04-13,292.48,293.36,285.62,285.62,285.62,"18,10,00,000"
1987-04-14,285.61,285.62,275.67,279.16,279.16,"26,65,00,000"
1987-04-15,279.17,285.14,279.16,284.44,284.44,"19,82,00,000"
1987-04-16,284.45,289.57,284.44,286.91,286.91,"18,96,00,000"
1987-04-20,286.91,288.36,284.55,286.09,286.09,"13,91,00,000"
1987-04-21,285.88,293.07,282.89,293.07,293.07,"19,13,00,000"
1987-04-22,293.05,293.46,286.98,287.19,287.19,"18,59,00,000"
1987-04-23,287.19,289.12,284.28,286.82,286.82,"17,39,00,000"
1987-04-24,286.81,286.82,281.18,281.52,281.52,"17,80,00,000"
1987-04-27,281.52,284.45,276.22,281.83,281.83,"22,27,00,000"
1987-04-28,281.83,285.95,281.83,282.51,282.51,"18,01,00,000"
1987-04-29,282.58,286.42,282.58,284.57,284.57,"17,36,00,000"
1987-04-30,284.58,290.08,284.57,288.36,288.36,"18,31,00,000"
1987-05-01,286.99,289.71,286.52,288.03,288.03,"16,01,00,000"
1987-05-04,288.02,289.99,286.39,289.36,289.36,"14,06,00,000"
1987-05-05,289.36,295.40,289.34,295.34,295.34,"19,23,00,000"
1987-05-06,295.35,296.19,293.60,295.47,295.47,"19,66,00,000"
1987-05-07,295.45,296.80,294.07,294.71,294.71,"21,52,00,000"
1987-05-08,294.73,296.18,291.73,293.37,293.37,"16,19,00,000"
1987-05-11,293.37,298.69,291.55,291.57,291.57,"20,37,00,000"
1987-05-12,291.57,293.30,290.18,293.30,293.30,"15,53,00,000"
1987-05-13,293.31,294.54,290.74,293.98,293.98,"17,10,00,000"
1987-05-14,293.98,295.10,292.95,294.24,294.24,"15,20,00,000"
1987-05-15,294.23,294.24,287.11,287.43,287.43,"18,08,00,000"
1987-05-18,287.43,287.43,282.57,286.65,286.65,"17,42,00,000"
1987-05-19,286.66,287.39,278.83,279.62,279.62,"17,54,00,000"
1987-05-20,279.62,280.89,277.01,278.21,278.21,"20,68,00,000"
1987-05-21,278.23,282.31,278.21,280.17,280.17,"16,48,00,000"
1987-05-22,280.17,283.33,280.17,282.16,282.16,"13,58,00,000"
1987-05-26,282.16,289.11,282.16,289.11,289.11,"15,25,00,000"
1987-05-27,289.07,290.78,288.19,288.73,288.73,"17,14,00,000"
1987-05-28,288.73,291.50,286.33,290.76,290.76,"15,38,00,000"
1987-05-29,290.77,292.87,289.70,290.10,290.10,"15,35,00,000"
1987-06-01,290.12,291.96,289.23,289.83,289.83,"14,93,00,000"
1987-06-02,289.82,290.94,286.93,288.46,288.46,"15,34,00,000"
1987-06-03,288.56,293.47,288.56,293.47,293.47,"16,42,00,000"
1987-06-04,293.46,295.09,292.76,295.09,295.09,"14,03,00,000"
1987-06-05,295.11,295.11,292.80,293.45,293.45,"12,91,00,000"
1987-06-08,293.46,297.03,291.55,296.72,296.72,"13,64,00,000"
1987-06-09,296.72,297.59,295.90,297.28,297.28,"16,42,00,000"
1987-06-10,297.28,300.81,295.66,297.47,297.47,"19,74,00,000"
1987-06-11,297.50,298.94,297.47,298.73,298.73,"13,89,00,000"
1987-06-12,298.77,302.26,298.73,301.62,301.62,"17,51,00,000"
1987-06-15,301.62,304.11,301.62,303.14,303.14,"15,69,00,000"
1987-06-16,303.12,304.86,302.60,304.76,304.76,"15,78,00,000"
1987-06-17,304.77,305.74,304.03,304.81,304.81,"18,47,00,000"
1987-06-18,304.78,306.13,303.38,305.69,305.69,"16,86,00,000"
1987-06-19,305.71,306.97,305.55,306.97,306.97,"22,05,00,000"
1987-06-22,306.98,310.20,306.97,309.65,309.65,"17,82,00,000"
1987-06-23,309.66,310.27,307.48,308.43,308.43,"19,42,00,000"
1987-06-24,308.44,308.91,306.32,306.86,306.86,"15,38,00,000"
1987-06-25,306.87,309.44,306.86,308.96,308.96,"17,35,00,000"
1987-06-26,308.94,308.96,306.36,307.16,307.16,"15,05,00,000"
1987-06-29,307.15,308.15,306.75,307.90,307.90,"14,25,00,000"
1987-06-30,307.89,308.00,303.01,304.00,304.00,"16,55,00,000"
1987-07-01,303.99,304.00,302.53,302.94,302.94,"15,70,00,000"
1987-07-02,302.96,306.34,302.94,305.63,305.63,"15,49,00,000"
1987-07-06,305.64,306.75,304.23,304.92,304.92,"15,50,00,000"
1987-07-07,304.91,308.63,304.73,307.40,307.40,"20,07,00,000"
1987-07-08,307.41,308.48,306.01,308.29,308.29,"20,75,00,000"
1987-07-09,308.30,309.56,307.42,307.52,307.52,"19,54,00,000"
1987-07-10,307.55,308.40,306.96,308.37,308.37,"17,21,00,000"
1987-07-13,308.41,308.41,305.49,307.63,307.63,"15,25,00,000"
1987-07-14,307.67,310.69,307.46,310.68,310.68,"18,59,00,000"
1987-07-15,310.67,312.08,309.07,310.42,310.42,"20,23,00,000"
1987-07-16,311.00,312.83,310.42,312.70,312.70,"21,09,00,000"
1987-07-17,312.71,314.59,312.38,314.59,314.59,"21,00,00,000"
1987-07-20,314.56,314.59,311.24,311.39,311.39,"16,81,00,000"
1987-07-21,311.36,312.41,307.51,308.55,308.55,"18,66,00,000"
1987-07-22,308.56,309.12,307.22,308.47,308.47,"17,47,00,000"
1987-07-23,308.50,309.63,306.10,307.81,307.81,"16,37,00,000"
1987-07-24,307.82,309.28,307.78,309.27,309.27,"15,84,00,000"
1987-07-27,309.30,310.70,308.61,310.65,310.65,"15,20,00,000"
1987-07-28,310.65,312.33,310.28,312.33,312.33,"17,26,00,000"
1987-07-29,312.34,315.65,311.73,315.65,315.65,"19,62,00,000"
1987-07-30,315.69,318.53,315.65,318.05,318.05,"20,80,00,000"
1987-07-31,318.05,318.85,317.56,318.66,318.66,"18,19,00,000"
1987-08-03,318.62,320.26,316.52,317.57,317.57,"20,78,00,000"
1987-08-04,317.59,318.25,314.51,316.23,316.23,"16,65,00,000"
1987-08-05,316.25,319.74,316.23,318.45,318.45,"19,27,00,000"
1987-08-06,318.49,322.09,317.50,322.09,322.09,"19,20,00,000"
1987-08-07,322.10,324.15,321.82,323.00,323.00,"21,27,00,000"
1987-08-10,322.98,328.00,322.95,328.00,328.00,"18,72,00,000"
1987-08-11,328.02,333.40,328.00,333.33,333.33,"27,81,00,000"
1987-08-12,333.32,334.57,331.06,332.39,332.39,"23,58,00,000"
1987-08-13,332.38,335.52,332.38,334.65,334.65,"21,71,00,000"
1987-08-14,334.63,336.08,332.63,333.99,333.99,"19,61,00,000"
1987-08-17,333.98,335.43,332.88,334.11,334.11,"16,61,00,000"
1987-08-18,334.10,334.11,326.43,329.25,329.25,"19,84,00,000"
1987-08-19,329.26,329.89,326.54,329.83,329.83,"18,09,00,000"
1987-08-20,331.49,335.19,329.83,334.84,334.84,"19,66,00,000"
1987-08-21,334.85,336.37,334.30,335.90,335.90,"18,96,00,000"
1987-08-24,335.89,335.90,331.92,333.33,333.33,"14,94,00,000"
1987-08-25,333.37,337.89,333.33,336.77,336.77,"21,35,00,000"
1987-08-26,336.77,337.39,334.46,334.57,334.57,"19,62,00,000"
1987-08-27,334.56,334.57,331.10,331.38,331.38,"16,36,00,000"
1987-08-28,331.37,331.38,327.03,327.04,327.04,"15,63,00,000"
1987-08-31,327.03,330.09,326.99,329.80,329.80,"16,58,00,000"
1987-09-01,329.81,332.18,322.83,323.40,323.40,"19,35,00,000"
1987-09-02,323.40,324.53,318.76,321.68,321.68,"19,99,00,000"
1987-09-03,321.47,324.29,317.39,320.21,320.21,"16,52,00,000"
1987-09-04,320.21,322.03,316.53,316.70,316.70,"12,91,00,000"
1987-09-08,316.68,316.70,308.56,313.56,313.56,"24,29,00,000"
1987-09-09,313.60,315.41,312.29,313.92,313.92,"16,49,00,000"
1987-09-10,313.92,317.59,313.92,317.13,317.13,"17,98,00,000"
1987-09-11,317.14,322.45,317.13,321.98,321.98,"17,80,00,000"
1987-09-14,322.02,323.81,320.40,323.08,323.08,"15,44,00,000"
1987-09-15,323.07,323.08,317.63,317.74,317.74,"13,62,00,000"
1987-09-16,317.75,319.50,314.61,314.86,314.86,"19,57,00,000"
1987-09-17,314.94,316.08,313.45,314.93,314.93,"15,07,00,000"
1987-09-18,314.98,316.99,314.86,314.86,314.86,"18,81,00,000"
1987-09-21,314.92,317.66,310.12,310.54,310.54,"17,01,00,000"
1987-09-22,310.54,319.51,308.69,319.50,319.50,"20,95,00,000"
1987-09-23,319.49,321.83,319.12,321.19,321.19,"22,03,00,000"
1987-09-24,321.09,322.01,319.12,319.72,319.72,"16,22,00,000"
1987-09-25,319.72,320.55,318.10,320.16,320.16,"13,80,00,000"
1987-09-28,320.16,325.33,320.16,323.20,323.20,"18,81,00,000"
1987-09-29,323.20,324.63,320.27,321.69,321.69,"17,35,00,000"
1987-09-30,321.69,322.53,320.16,321.83,321.83,"18,31,00,000"
1987-10-01,321.83,327.34,321.83,327.33,327.33,"19,32,00,000"
1987-10-02,327.33,328.94,327.22,328.07,328.07,"18,91,00,000"
1987-10-05,328.07,328.57,326.09,328.08,328.08,"15,97,00,000"
1987-10-06,328.08,328.08,319.17,319.22,319.22,"17,56,00,000"
1987-10-07,319.22,319.39,315.78,318.54,318.54,"18,63,00,000"
1987-10-08,318.54,319.34,312.02,314.16,314.16,"19,87,00,000"
1987-10-09,314.16,315.04,310.97,311.07,311.07,"15,83,00,000"
1987-10-12,311.07,311.07,306.76,309.39,309.39,"14,19,00,000"
1987-10-13,309.39,314.53,309.39,314.52,314.52,"17,29,00,000"
1987-10-14,314.52,314.52,304.78,305.23,305.23,"20,74,00,000"
1987-10-15,305.21,305.23,298.07,298.08,298.08,"26,32,00,000"
1987-10-16,298.08,298.92,281.52,282.70,282.70,"33,85,00,000"
1987-10-19,282.70,282.70,224.83,224.84,224.84,"60,43,00,000"
1987-10-20,225.06,245.62,216.46,236.83,236.83,"60,81,00,000"
1987-10-21,236.83,259.27,236.83,258.38,258.38,"44,96,00,000"
1987-10-22,258.24,258.38,242.99,248.25,248.25,"39,22,00,000"
1987-10-23,248.29,250.70,242.76,248.22,248.22,"24,56,00,000"
1987-10-26,248.20,248.22,227.26,227.67,227.67,"30,88,00,000"
1987-10-27,227.67,237.81,227.67,233.19,233.19,"26,02,00,000"
1987-10-28,233.19,238.58,226.26,233.28,233.28,"27,94,00,000"
1987-10-29,233.31,246.69,233.28,244.77,244.77,"25,81,00,000"
1987-10-30,244.77,254.04,244.77,251.79,251.79,"30,34,00,000"
1987-11-02,251.73,255.75,249.15,255.75,255.75,"17,60,00,000"
1987-11-03,255.75,255.75,242.78,250.82,250.82,"22,78,00,000"
1987-11-04,250.81,251.00,246.34,248.96,248.96,"20,25,00,000"
1987-11-05,248.93,256.09,247.72,254.48,254.48,"22,60,00,000"
1987-11-06,254.49,257.21,249.68,250.41,250.41,"22,82,90,000"
1987-11-09,250.41,250.41,243.01,243.17,243.17,"16,06,90,000"
1987-11-10,243.14,243.17,237.64,239.00,239.00,"18,43,10,000"
1987-11-11,239.01,243.86,239.00,241.90,241.90,"14,78,50,000"
1987-11-12,241.93,249.90,241.90,248.52,248.52,"20,62,80,000"
1987-11-13,248.54,249.42,245.64,245.64,245.64,"17,49,20,000"
1987-11-16,245.69,249.54,244.98,246.76,246.76,"16,43,40,000"
1987-11-17,246.73,246.76,240.81,243.04,243.04,"14,82,40,000"
1987-11-18,243.09,245.55,240.67,245.55,245.55,"15,82,70,000"
1987-11-19,245.54,245.55,239.70,240.05,240.05,"15,71,40,000"
1987-11-20,240.04,242.01,235.89,242.00,242.00,"18,91,70,000"
1987-11-23,242.00,242.99,240.50,242.99,242.99,"14,31,60,000"
1987-11-24,242.98,247.90,242.98,246.39,246.39,"19,95,20,000"
1987-11-25,246.42,246.54,244.08,244.10,244.10,"13,97,80,000"
1987-11-27,244.11,244.12,240.34,240.34,240.34,"8,63,60,000"
1987-11-30,240.27,240.34,225.75,230.30,230.30,"26,89,10,000"
1987-12-01,230.32,234.02,230.30,232.00,232.00,"14,98,70,000"
1987-12-02,232.01,234.56,230.31,233.45,233.45,"14,88,90,000"
1987-12-03,233.46,233.90,225.21,225.21,225.21,"20,41,60,000"
1987-12-04,225.20,225.77,221.24,223.92,223.92,"18,48,00,000"
1987-12-07,223.98,228.77,223.92,228.76,228.76,"14,66,60,000"
1987-12-08,228.77,234.92,228.69,234.91,234.91,"22,73,10,000"
1987-12-09,234.91,240.09,233.83,238.89,238.89,"23,14,30,000"
1987-12-10,238.89,240.05,233.40,233.57,233.57,"18,89,60,000"
1987-12-11,233.60,235.48,233.35,235.32,235.32,"15,16,80,000"
1987-12-14,235.30,242.34,235.04,242.19,242.19,"18,76,80,000"
1987-12-15,242.19,245.59,241.31,242.81,242.81,"21,49,70,000"
1987-12-16,242.81,248.11,242.80,248.08,248.08,"19,38,20,000"
1987-12-17,248.08,248.60,242.96,242.98,242.98,"19,17,80,000"
1987-12-18,243.01,249.18,243.01,249.16,249.16,"27,62,20,000"
1987-12-21,249.14,250.25,248.30,249.54,249.54,"16,17,90,000"
1987-12-22,249.56,249.97,247.01,249.95,249.95,"19,26,50,000"
1987-12-23,249.96,253.35,249.95,253.16,253.16,"20,31,10,000"
1987-12-24,253.13,253.16,251.68,252.03,252.03,"10,88,00,000"
1987-12-28,252.01,252.02,244.19,245.57,245.57,"13,12,20,000"
1987-12-29,245.58,245.88,244.28,244.59,244.59,"11,15,80,000"
1987-12-30,244.63,248.06,244.59,247.86,247.86,"14,92,30,000"
